Species,2005L2-85,2005L2-77,2005L2-84,2005L2-82,2005L2-81,2005L2-80,2005L2-83,2005L2-76
Sterigmatomyces Sterigmatomyces_elviae,0,0,0,1,0,1,0,0
Dipodascus Dipodascus_geotrichum,0,0,0,0,0,2,0,0
Aureoboletus Aureoboletus_projectellus,0,0,0,0,0,1,1,0
Thelonectria Thelonectria_mammoidea,0,0,0,1,0,1,0,0
Penicillium Penicillium_ochrosalmoneum,0,0,0,0,0,1,0,1
Chaetomium Chaetomium_strumarium,0,0,0,1,0,0,1,0
Rhizoctonia Rhizoctonia_oryzae-sativae,0,0,0,1,0,1,0,0
Rhodotorula Rhodotorula_toruloides,0,0,0,2,0,0,0,0
Hydropunctaria Hydropunctaria_amphibia,0,0,0,1,0,1,0,0
Plenodomus Plenodomus_biglobosus,0,0,0,1,1,0,0,0
Citeromyces Citeromyces_matritensis,0,0,0,1,0,1,0,0
Abrothallus Abrothallus_doliiformis,0,0,0,0,0,1,0,1
Fuscopannaria Fuscopannaria_confusa,0,0,0,1,0,1,0,0
Sarea Sarea_resinae,1,1,0,0,0,0,0,0
Melanoporia Melanoporia_nigra,0,0,0,0,0,1,0,1
Dichotomopilus Dichotomopilus_reflexus,1,0,0,0,0,0,1,0
Clonostachys unidentified,0,0,0,0,0,1,1,0
Tritirachium Tritirachium_oryzae,0,0,1,0,1,0,0,0
Ganoderma Ganoderma_ecuadoriense,0,1,0,0,0,1,0,0
Heterochaete Heterochaete_shearii,0,1,0,1,0,0,0,0
Ceriporia Ceriporia_lacerata,0,1,1,0,0,0,0,0
Candida Candida_sake,0,2,0,0,0,0,0,0
Thelonectria Thelonectria_coronata,0,1,0,0,0,0,1,0
Kuraishia Kuraishia_molischiana,1,0,0,0,1,0,0,0
Stomiopeltis unidentified,2,0,0,0,0,0,0,0
Austroboletus Austroboletus_subvirens,0,1,1,0,0,0,0,0
Ilyonectria Ilyonectria_mors-panacis,1,0,0,0,0,0,0,1
Hypoxylon Hypoxylon_cinnabarinum,0,1,0,0,0,1,0,0
Melanodothis Melanodothis_caricis,1,0,1,0,0,0,0,0
Cylindrocarpostylus Cylindrocarpostylus_gregarius,1,0,0,0,1,0,0,0
Debaryomyces Debaryomyces_hansenii,0,1,0,0,0,0,1,0
Talaromyces Talaromyces_wortmannii,2,0,0,0,0,0,0,0
Dactylonectria Dactylonectria_estremocensis,1,0,0,0,1,0,0,0
Pseudopestalotiopsis Pseudopestalotiopsis_cocos,1,1,0,0,0,0,0,0
Entoloma Entoloma_percoelestinum,1,0,1,0,0,0,0,0
Trichothecium Trichothecium_crotocinigenum,0,1,0,0,1,0,0,0
Tamhinispora Tamhinispora_indica,1,0,0,0,0,0,1,0
Ganoderma Ganoderma_enigmaticum,0,2,0,0,0,0,0,0
Cladosporium Cladosporium_aciculare,1,0,0,0,0,1,0,0
Protostegia Protostegia_eucleae,0,1,0,0,1,0,0,0
Acremonium Acremonium_breve,1,0,0,0,1,0,0,0
Meyerozyma Meyerozyma_caribbica,0,1,0,0,0,0,1,0
Tuber Tuber_pseudomagnatum,1,0,0,0,0,0,0,1
Hypoxylon Hypoxylon_investiens,1,0,0,0,1,0,0,0
Microascus Microascus_expansus,1,0,0,0,0,0,1,0
Phialocephala Phialocephala_humicola,1,0,0,0,1,0,0,0
Multiclavula Multiclavula_calocera,1,0,0,0,0,1,0,0
Talaromyces Talaromyces_oumae-annae,0,1,0,0,0,1,0,0
Auxarthron Auxarthron_thaxteri,1,0,0,0,0,0,0,1
Trypethelium Trypethelium_subeluteriae,0,1,0,1,0,0,0,0
Clavulina Clavulina_monodiminutiva,0,1,0,0,0,1,0,0
Torula Torula_hollandica,1,0,0,0,0,0,0,1
Gymnopilus Gymnopilus_dilepis,2,0,0,0,0,0,0,0
Penicillium Penicillium_macrosclerotiorum,1,1,0,0,0,0,0,0
Cyttaria Cyttaria_hookeri,2,0,0,0,0,0,0,0
Ganoderma Ganoderma_subresinosum,1,0,0,0,0,0,0,1
Orbilia Orbilia_flavidorosella,1,0,0,1,0,0,0,0
Microascus Microascus_campaniformis,1,1,0,0,0,0,0,0
Boletus Boletus_rhodopurpureus,0,1,0,0,0,0,0,1
Entoloma Entoloma_sacchariolens,1,0,0,0,0,0,1,0
Sarocladium Sarocladium_bactrocephalum,1,0,0,0,1,0,0,0
Geastrum Geastrum_albonigrum,0,2,0,0,0,0,0,0
Diutina Diutina_rugosa,1,0,0,1,0,0,0,0
Cladosporium Cladosporium_adianticola,1,0,0,0,1,0,0,0
Mortierella Mortierella_histoplasmatoides,0,1,0,0,0,0,0,1
Sporobolomyces Sporobolomyces_carnicolor,0,1,0,0,0,0,0,1
Cainia Cainia_anthoxanthis,1,0,0,0,0,0,0,1
Psathyrella Psathyrella_lacuum,1,0,0,0,0,0,1,0
Gliocladiopsis Gliocladiopsis_elghollii,1,0,1,0,0,0,0,0
Trichopezizella unidentified,1,0,0,0,1,0,0,0
Steccherinum Steccherinum_fimbriatum,0,1,0,0,1,0,0,0
Ceriporiopsis Ceriporiopsis_resinascens,0,0,1,0,0,0,0,1
Phyllozyma Phyllozyma_novozealandica,1,0,0,0,0,0,0,1
Cladorrhinum Cladorrhinum_brunnescens,0,2,0,0,0,0,0,0
Umbilicaria Umbilicaria_decussata,0,0,2,0,0,0,0,0
Cordana Cordana_solitaria,1,0,0,1,0,0,0,0
Spiromastix Spiromastix_princeps,1,0,0,0,0,0,1,0
Trapeliopsis Trapeliopsis_wallrothii,0,1,0,0,1,0,0,0
Cladia Cladia_moniliformis,1,0,0,0,1,0,0,0
Talaromyces Talaromyces_versatilis,2,0,0,0,0,0,0,0
Coprinopsis Coprinopsis_ochraceolanata,0,1,0,0,0,1,0,0
Amylocystis Amylocystis_lapponica,1,0,0,0,0,0,1,0
Teichospora Teichospora_thailandica,0,0,1,0,0,0,0,1
Arthroderma Arthroderma_gypseum,0,2,0,0,0,0,0,0
Rhopalostroma Rhopalostroma_brevistipitatum,0,0,1,0,0,0,0,1
Tylopilus Tylopilus_orsonianus,0,0,1,0,0,0,0,1
Myrothecium Myrothecium_inundatum,1,0,0,0,0,1,0,0
Chaetomium Chaetomium_globosum,0,1,0,0,0,0,1,0
Hispidoconidioma Hispidoconidioma_alpinum,1,0,0,0,0,0,1,0
Cercospora Cercospora_coniogrammes,2,0,0,0,0,0,0,0
Fusicladium Fusicladium_africanum,0,0,2,0,0,0,0,0
Ceriporia Ceriporia_bubalinomarginata,0,1,0,0,0,0,1,0
Trichoderma Trichoderma_virescentiflavum,0,1,0,1,0,0,0,0
Rozella Rozella_allomycis,0,2,0,0,0,0,0,0
Crocicreas Crocicreas_epicalamia,0,0,0,0,1,0,0,0
Xylaria Xylaria_hypoxylon,1,0,0,0,0,0,0,0
Thekopsora Thekopsora_nipponica,0,0,0,0,0,1,0,0
Diaporthe Diaporthe_litchiicola,0,0,0,0,0,1,0,0
Saitozyma unidentified,0,0,0,0,0,0,1,0
Agaricus Agaricus_parvitigrinus,0,0,0,0,0,1,0,0
Penicillium Penicillium_curticaule,0,0,0,0,0,1,0,0
Caloplaca Caloplaca_duplicata,0,0,0,0,0,1,0,0
Trichoderma Trichoderma_ghanense,0,0,0,0,0,0,1,0
Speiropsis Speiropsis_pedatospora,1,0,0,0,0,0,0,0
Sistotremastrum Sistotremastrum_guttuliferum,0,0,0,0,0,1,0,0
Mortierella Mortierella_chienii,0,1,0,0,0,0,0,0
Colletotrichum Colletotrichum_viniferum,0,0,0,0,0,1,0,0
Campylospora Campylospora_chaetocladia,0,0,0,0,0,1,0,0
Pyrenula Pyrenula_infraleucotrypa,0,0,0,0,0,1,0,0
Curvularia Curvularia_affinis,0,0,0,0,0,1,0,0
Dekkera Dekkera_bruxellensis,0,0,0,0,0,1,0,0
Cyberlindnera unidentified,1,0,0,0,0,0,0,0
Cyanonectria Cyanonectria_buxi,0,1,0,0,0,0,0,0
Blastobotrys Blastobotrys_serpentis,0,0,0,0,0,1,0,0
Corynespora Corynespora_proliferata,1,0,0,0,0,0,0,0
Trechispora Trechispora_stevensonii,0,0,0,0,0,1,0,0
Diaporthe Diaporthe_decedens,0,0,0,0,0,0,1,0
Sarcoporia unidentified,0,0,0,0,0,0,1,0
Phanerochaete unidentified,0,0,0,0,0,0,1,0
Thelonectria Thelonectria_rubi,0,0,0,0,1,0,0,0
Diaporthe Diaporthe_columnaris,1,0,0,0,0,0,0,0
Penicillium Penicillium_menonorum,0,0,0,0,0,0,1,0
Amanita Amanita_kalamundae,0,1,0,0,0,0,0,0
Rhynchostoma Rhynchostoma_proteae,0,0,0,0,0,1,0,0
Hyphopichia Hyphopichia_burtonii,0,0,0,0,0,0,1,0
Nesolechia Nesolechia_oxyspora,0,0,0,0,0,0,1,0
Lasiodiplodia Lasiodiplodia_theobromae,0,0,0,0,0,1,0,0
Sparassis Sparassis_subalpina,0,0,0,0,0,0,1,0
Penicillium Penicillium_kewense,0,0,0,0,0,0,1,0
Myrmecridium Myrmecridium_phragmitis,0,0,0,0,0,0,1,0
Coprinellus Coprinellus_fuscocystidiatus,0,0,0,0,0,0,1,0
Plectosphaerella Plectosphaerella_melonis,0,0,0,0,0,1,0,0
Trichoderma Trichoderma_subsulphureum,1,0,0,0,0,0,0,0
Colletotrichum Colletotrichum_theobromicola,1,0,0,0,0,0,0,0
Sporopachydermia Sporopachydermia_lactativora,0,0,0,0,0,1,0,0
Truncospora Truncospora_floridana,0,0,0,0,0,1,0,0
Neopseudocercospora Neopseudocercospora_terminaliae,0,0,0,0,0,1,0,0
Hyaloscypha Hyaloscypha_fuckelii,0,0,0,0,0,1,0,0
Conicomyces Conicomyces_pseudotransvaalensis,1,0,0,0,0,0,0,0
Sarcodontia Sarcodontia_crocea,0,0,0,0,0,1,0,0
Phlebia Phlebia_floridensis,0,0,0,0,0,1,0,0
Entoloma Entoloma_flavidum,0,0,0,0,0,1,0,0
Paralecia Paralecia_pratorum,1,0,0,0,0,0,0,0
Candelaria Candelaria_fibrosa,0,0,0,0,0,1,0,0
Clitopilus Clitopilus_prunulus,1,0,0,0,0,0,0,0
Botrytis Botrytis_caroliniana,0,0,0,0,0,1,0,0
Blastomyces Blastomyces_dermatitidis,0,0,0,0,0,1,0,0
Acarospora Acarospora_anomala,0,0,0,0,0,1,0,0
Neoastrosphaeriella Neoastrosphaeriella_krabiensis,0,0,0,0,0,1,0,0
Lirula Lirula_exigua,0,0,0,0,0,1,0,0
Lacrymaria Lacrymaria_lacrymabunda,0,0,0,0,0,1,0,0
Preussia Preussia_dubia,0,0,0,0,0,1,0,0
Naumovozyma Naumovozyma_castellii,0,0,0,0,0,1,0,0
Ballistosporomyces Ballistosporomyces_sasicola,0,0,0,0,0,1,0,0
Trichoderma Trichoderma_orientale,0,0,0,0,0,1,0,0
Wickerhamomyces Wickerhamomyces_chaumierensis,0,0,0,0,0,1,0,0
Megacapitula Megacapitula_villosa,0,0,0,0,0,1,0,0
Cyphellophora Cyphellophora_eucalypti,1,0,0,0,0,0,0,0
Hypomyces Hypomyces_perniciosus,1,0,0,0,0,0,0,0
Chaetocladium Chaetocladium_brefeldii,0,1,0,0,0,0,0,0
Fibrodontia Fibrodontia_alba,0,0,0,0,0,1,0,0
Pseudotomentella Pseudotomentella_nigra,0,0,0,0,0,1,0,0
Fusarium Fusarium_cyanostomum,0,0,0,0,0,1,0,0
Rigidoporus unidentified,0,0,0,0,0,1,0,0
Phillipsia Phillipsia_crispata,0,0,0,0,0,1,0,0
Tephromela Tephromela_nashii,0,0,0,0,0,1,0,0
Dichomitus Dichomitus_campestris,0,0,0,0,0,1,0,0
Leucocoprinus Leucocoprinus_cretaceus,0,0,0,0,0,1,0,0
Chalara Chalara_microspora,0,1,0,0,0,0,0,0
Penicillium Penicillium_rubidurum,1,0,0,0,0,0,0,0
Tetrachaetum unidentified,0,0,0,0,0,1,0,0
Leotia unidentified,0,0,0,0,0,1,0,0
Clavulina Clavulina_cinereoglebosa,0,0,0,0,0,1,0,0
Hygrocybe Hygrocybe_roseopallida,0,0,0,0,0,1,0,0
Aciculosporium Aciculosporium_take,0,0,0,0,0,1,0,0
Lophiostoma Lophiostoma_corticola,0,0,0,0,0,1,0,0
Talaromyces Talaromyces_australis,0,0,0,0,0,1,0,0
Polystigma Polystigma_amygdalinum,0,0,0,0,0,1,0,0
Amanita Amanita_japonica,0,0,0,0,0,1,0,0
Helicosporium unidentified,0,0,0,0,0,1,0,0
Geastrum Geastrum_indicum,0,0,0,0,0,1,0,0
Guyanaporus Guyanaporus_albipodus,0,0,0,0,0,1,0,0
Suillus Suillus_ponderosus,0,0,0,0,0,1,0,0
Lasiodiplodia Lasiodiplodia_pseudotheobromae,0,1,0,0,0,0,0,0
Pezicula Pezicula_ocellata,0,0,0,0,0,1,0,0
Trichoderma Trichoderma_phyllostachydis,0,0,0,0,0,0,0,1
Gloeocystidiellum Gloeocystidiellum_convolvens,0,0,0,0,0,0,0,1
Aspergillus Aspergillus_nishimurae,0,0,0,0,0,0,0,1
Clonostachys Clonostachys_miodochialis,0,0,0,0,0,0,0,1
Thelephora Thelephora_caryophyllea,0,0,0,0,0,0,0,1
Ciborinia Ciborinia_allii,0,0,0,0,0,0,0,1
Chaetomium Chaetomium_trigonosporum,0,0,0,0,0,0,0,1
Stagonospora Stagonospora_convolvuli,0,0,0,0,0,0,0,1
Omphalina unidentified,0,0,0,0,0,0,0,1
Moleospora unidentified,0,0,0,0,0,0,0,1
Trechispora unidentified,1,0,0,0,0,0,0,0
Cytospora Cytospora_austromontana,0,0,0,0,0,0,0,1
Fomitiporia Fomitiporia_polymorpha,0,0,0,0,0,0,0,1
Trichophyton Trichophyton_ajelloi,0,0,0,0,0,0,0,1
Abrothallus Abrothallus_acetabuli,0,0,0,0,0,0,0,1
Colletotrichum Colletotrichum_chlorophyti,0,0,0,0,0,0,0,1
Cutaneotrichosporon Cutaneotrichosporon_cyanovorans,1,0,0,0,0,0,0,0
Aureobasidium Aureobasidium_subglaciale,0,0,0,0,0,0,0,1
Biatora Biatora_vernalis,0,0,0,0,0,0,0,1
Mycosphaerella Mycosphaerella_suttonii,0,0,0,0,0,0,0,1
Varicosporium unidentified,0,0,0,0,0,0,0,1
Nectria Nectria_zangii,0,0,0,0,0,0,0,1
Cora Cora_setosa,0,0,0,0,0,0,0,1
Candida Candida_quercitrusa,0,0,0,0,0,0,0,1
Talaromyces unidentified,1,0,0,0,0,0,0,0
Megasporoporia Megasporoporia_setulosa,0,0,0,0,0,0,0,1
Phanerochaete Phanerochaete_galactites,0,0,0,0,0,0,0,1
Paraconiothyrium Paraconiothyrium_archidendri,0,0,0,0,0,0,0,1
Dibaeis Dibaeis_absoluta,0,0,0,0,0,0,0,1
Hysterangium Hysterangium_thwaitesii,0,0,0,0,0,0,0,1
Hygrocybe Hygrocybe_mucronella,0,0,0,0,0,0,0,1
Leohumicola Leohumicola_minima,0,0,0,0,0,0,0,1
Stephanospora Stephanospora_aorangi,0,0,0,0,0,0,0,1
Arthrocladium Arthrocladium_caudatum,0,0,0,0,0,0,0,1
Yamadazyma unidentified,0,0,0,0,0,0,0,1
Dicyma Dicyma_funiculosa,0,0,0,0,0,0,0,1
Lycoperdon Lycoperdon_pyriforme,1,0,0,0,0,0,0,0
Geastrum Geastrum_triplex,0,0,0,0,0,0,0,1
Geastrum Geastrum_flexuosum,0,0,0,0,0,0,0,1
Trametes Trametes_elegans,0,0,0,0,0,0,0,1
Geastrum Geastrum_pectinatum,0,0,0,0,0,0,0,1
Gymnopus Gymnopus_fibrosipes,0,0,0,0,0,0,0,1
Chaetomium Chaetomium_homopilatum,0,0,0,0,0,0,0,1
Lambertella Lambertella_palmeri,0,0,0,0,0,0,0,1
Gyroporus Gyroporus_purpurinus,0,0,0,0,0,0,0,1
Hygrocybe Hygrocybe_nitrata,0,0,0,0,0,0,0,1
Diaporthe Diaporthe_mayteni,1,0,0,0,0,0,0,0
Inocybe Inocybe_epidendron,0,0,0,0,0,0,0,1
Scedosporium Scedosporium_minutisporum,0,0,0,0,0,0,0,1
Capnodium Capnodium_coffeae,1,0,0,0,0,0,0,0
Phylliscum Phylliscum_demangeonii,0,0,0,0,0,0,0,1
Hannaella Hannaella_kunmingensis,0,0,0,0,0,0,0,1
Amaurodon Amaurodon_sumatranus,0,0,0,0,0,0,0,1
Teratosphaeria Teratosphaeria_xenocryptica,0,0,0,0,0,0,0,1
Penicillium Penicillium_citrinum,0,0,0,0,0,0,0,1
Micropsalliota Micropsalliota_rubrobrunnescens,0,0,0,0,0,0,0,1
Syzygospora unidentified,0,0,0,0,0,0,0,1
Myrmecridium Myrmecridium_obovoideum,0,0,0,0,0,0,0,1
Aspergillus Aspergillus_saccharolyticus,0,0,0,0,0,0,0,1
Fusarium Fusarium_cicatricum,0,0,0,0,0,0,0,1
Dothiora Dothiora_cannabinae,0,0,0,0,0,0,0,1
Cystobasidium Cystobasidium_oligophagum,0,0,0,0,0,0,0,1
Trichoderma Trichoderma_parepimyces,0,0,0,0,0,0,0,1
Mycena Mycena_abramsii,0,0,0,0,0,0,1,0
Elaphomyces Elaphomyces_anthracinus,1,0,0,0,0,0,0,0
Phallus Phallus_rugulosus,0,0,0,0,0,0,1,0
Saitozyma Saitozyma_podzolica,0,0,0,0,0,0,1,0
Hypomyces Hypomyces_australasiaticus,1,0,0,0,0,0,0,0
Trichoderma Trichoderma_crystalligenum,0,0,0,0,0,0,1,0
Rosellinia Rosellinia_buxi,0,0,0,0,0,0,1,0
Amanita Amanita_cruzii,0,0,0,0,0,0,1,0
Lecanicillium Lecanicillium_antillanum,1,0,0,0,0,0,0,0
Savoryella Savoryella_longispora,0,0,0,0,0,0,1,0
Kappamyces Kappamyces_laurelensis,0,0,0,0,0,0,1,0
Talaromyces Talaromyces_chlorolomus,1,0,0,0,0,0,0,0
Septoria Septoria_cretae,0,0,0,0,0,0,1,0
Talaromyces Talaromyces_kendrickii,0,0,0,0,0,0,1,0
Rhodosporidiobolus Rhodosporidiobolus_ruineniae,0,0,0,0,0,0,1,0
Buckleyzyma Buckleyzyma_aurantiaca,0,0,0,0,0,0,1,0
Geastrum Geastrum_berkeleyi,0,0,0,0,0,0,1,0
Psathyrella Psathyrella_olympiana,0,0,0,0,0,0,1,0
Xylaria Xylaria_feejeensis,0,0,0,0,0,0,1,0
Neoacanthostigma unidentified,1,0,0,0,0,0,0,0
Tylopilus Tylopilus_microsporus,0,0,0,0,0,0,1,0
Septofusidium Septofusidium_herbarum,1,0,0,0,0,0,0,0
Diaporthe Diaporthe_saccarata,0,0,0,0,0,0,1,0
Lindtneria Lindtneria_flava,0,0,0,0,0,0,1,0
Spirosphaera Spirosphaera_floriformis,0,0,0,0,0,0,1,0
Botrytis Botrytis_porri,1,0,0,0,0,0,0,0
Pseudocercospora Pseudocercospora_luzardii,0,0,0,0,0,0,1,0
Hygrocybe Hygrocybe_flavescens,0,0,0,0,0,0,1,0
Auricularia Auricularia_cornea,0,0,0,0,0,0,1,0
Coniosporium Coniosporium_uncinatum,0,0,0,0,0,0,1,0
Polyblastia Polyblastia_schisticola,0,0,0,0,0,0,1,0
Coniella Coniella_fragariae,0,0,0,0,0,0,1,0
Roussoella Roussoella_nitidula,0,0,0,0,0,0,1,0
Perenniporia Perenniporia_russeimarginata,0,0,0,0,0,0,1,0
Sarocladium Sarocladium_hominis,0,0,0,0,0,0,1,0
Gloiothele Gloiothele_citrina,0,0,0,0,0,0,1,0
Valsalnicola Valsalnicola_oxystoma,0,0,0,0,0,0,1,0
Leucoagaricus Leucoagaricus_asiaticus,0,0,0,0,0,0,1,0
Aquasubmersa Aquasubmersa_japonica,0,0,0,0,0,0,1,0
Metarhizium Metarhizium_blattodeae,0,0,0,0,0,0,1,0
Xylaria Xylaria_mellissii,0,0,0,0,0,0,1,0
Neoacanthostigma Neoacanthostigma_septoconstrictum,0,0,0,0,0,0,1,0
Wallemia Wallemia_canadensis,0,0,0,0,0,0,1,0
Gerhardtia Gerhardtia_borealis,0,0,0,0,0,0,1,0
Tomentella Tomentella_beaverae,0,0,0,0,0,0,1,0
Coralloidiomyces Coralloidiomyces_digitatus,0,0,0,0,0,0,1,0
Microsporomyces Microsporomyces_pini,0,0,0,0,0,0,1,0
Volutella Volutella_lini,0,0,0,0,0,0,1,0
Psathyrella Psathyrella_squarrosiceps,0,0,0,0,0,0,1,0
Dufourea Dufourea_alexanderbaai,0,0,0,0,0,0,1,0
Aspergillus Aspergillus_itaconicus,0,0,0,0,0,0,1,0
Sarocladium Sarocladium_spinificis,0,0,0,0,0,0,1,0
Penicillium Penicillium_levitum,1,0,0,0,0,0,0,0
Candida Candida_metapsilosis,0,0,0,0,0,0,1,0
Berkleasmium unidentified,0,0,0,0,0,0,1,0
Didymella Didymella_chenopodii,0,0,0,0,0,0,1,0
Lecanicillium unidentified,0,0,0,0,0,0,1,0
Coprinopsis Coprinopsis_villosa,0,0,0,0,0,0,1,0
Auricularia Auricularia_orientalis,0,0,0,0,0,0,1,0
Remototrachyna Remototrachyna_dodapetta,0,0,0,0,0,0,1,0
Colletotrichum Colletotrichum_echinochloae,0,0,0,0,0,0,1,0
Milospium Milospium_graphideorum,0,0,0,0,0,0,1,0
Taiwanofungus Taiwanofungus_salmoneus,0,1,0,0,0,0,0,0
Rheubarbariboletus Rheubarbariboletus_armeniacus,0,1,0,0,0,0,0,0
Stagonosporopsis Stagonosporopsis_actaeae,0,0,0,1,0,0,0,0
Hannaella Hannaella_siamensis,0,0,0,1,0,0,0,0
Curvularia Curvularia_eragrostidis,0,0,0,1,0,0,0,0
Megalaria Megalaria_grossa,0,0,0,1,0,0,0,0
Apiotrichum Apiotrichum_gamsii,0,0,0,1,0,0,0,0
Yamadazyma Yamadazyma_nakazawae,0,0,0,1,0,0,0,0
Penicillium Penicillium_pimiteouiense,0,1,0,0,0,0,0,0
Fulvoflamma Fulvoflamma_eucalypti,0,0,0,1,0,0,0,0
Sidera unidentified,1,0,0,0,0,0,0,0
Panus Panus_conchatus,0,0,0,1,0,0,0,0
Guignardia unidentified,0,0,0,1,0,0,0,0
Neodevriesia Neodevriesia_pakbiae,0,0,0,1,0,0,0,0
Derxomyces Derxomyces_simaoensis,0,0,0,1,0,0,0,0
Phaeosphaeria Phaeosphaeria_triglochinicola,0,0,0,1,0,0,0,0
Corticium Corticium_confine,0,1,0,0,0,0,0,0
Pseudoasteromassaria Pseudoasteromassaria_fagi,1,0,0,0,0,0,0,0
Sclerotium Sclerotium_coffeicola,0,0,1,0,0,0,0,0
Hazslinszkyomyces Hazslinszkyomyces_aloes,0,1,0,0,0,0,0,0
Funalia Funalia_floccosa,1,0,0,0,0,0,0,0
Camarosporium unidentified,1,0,0,0,0,0,0,0
Aspergillus Aspergillus_stromatoides,0,0,1,0,0,0,0,0
Hygrocybe Hygrocybe_intermedia,0,0,0,1,0,0,0,0
Austroboletus Austroboletus_fusisporus,1,0,0,0,0,0,0,0
Daldinia Daldinia_caldariorum,0,0,1,0,0,0,0,0
Amanita Amanita_eucalypti,0,0,1,0,0,0,0,0
Aspergillus Aspergillus_brunneouniseriatus,0,1,0,0,0,0,0,0
Aspergillus Aspergillus_caninus,1,0,0,0,0,0,0,0
Alternariaster Alternariaster_bidentis,0,1,0,0,0,0,0,0
Chlorencoelia Chlorencoelia_versiformis,1,0,0,0,0,0,0,0
Zasmidium Zasmidium_syzygii,1,0,0,0,0,0,0,0
Xenasma Xenasma_tulasnelloideum,0,0,0,1,0,0,0,0
Aspergillus Aspergillus_halophilicus,0,1,0,0,0,0,0,0
Psathyrella Psathyrella_scatophila,0,0,0,1,0,0,0,0
Candida Candida_smithsonii,0,0,0,1,0,0,0,0
Elytroderma Elytroderma_deformans,0,0,0,1,0,0,0,0
Didymella Didymella_urticicola,1,0,0,0,0,0,0,0
Semifissispora Semifissispora_natalis,0,1,0,0,0,0,0,0
Sedecimiella Sedecimiella_taiwanensis,0,0,0,1,0,0,0,0
Pertusaria Pertusaria_astomoides,1,0,0,0,0,0,0,0
Minutisphaera Minutisphaera_japonica,0,0,0,1,0,0,0,0
Cladia Cladia_tasmanica,0,0,0,1,0,0,0,0
Wallemia Wallemia_tropicalis,0,0,0,1,0,0,0,0
Hohenbuehelia Hohenbuehelia_tremula,0,1,0,0,0,0,0,0
Rasamsonia Rasamsonia_cylindrospora,0,0,0,1,0,0,0,0
Coprinopsis Coprinopsis_musae,1,0,0,0,0,0,0,0
Leptoxyphium Leptoxyphium_madagascariense,1,0,0,0,0,0,0,0
Goffeauzyma unidentified,1,0,0,0,0,0,0,0
Geoglossum Geoglossum_geesterani,0,0,0,1,0,0,0,0
Filobasidium unidentified,0,0,0,1,0,0,0,0
Hypoxylon Hypoxylon_polyporus,0,0,0,1,0,0,0,0
Phoma Phoma_crystallifera,0,1,0,0,0,0,0,0
Psathyrella Psathyrella_sulcatotuberculosa,0,0,0,1,0,0,0,0
Lepiota Lepiota_himalayensis,0,0,0,1,0,0,0,0
Fusarium unidentified,0,0,0,1,0,0,0,0
Mortierella Mortierella_antarctica,0,1,0,0,0,0,0,0
Delastria Delastria_rosea,0,0,0,1,0,0,0,0
Dufourea Dufourea_capensis,0,1,0,0,0,0,0,0
Papiliotrema Papiliotrema_laurentii,0,0,0,1,0,0,0,0
Penicillium Penicillium_cinerascens,0,1,0,0,0,0,0,0
Morosphaeria Morosphaeria_velatispora,0,0,1,0,0,0,0,0
Acremoniopsis Acremoniopsis_suttonii,0,0,1,0,0,0,0,0
Trichosporon Trichosporon_asahii,0,0,1,0,0,0,0,0
Pleospora unidentified,0,0,1,0,0,0,0,0
Brigantiaea Brigantiaea_ferruginea,0,0,1,0,0,0,0,0
Vermispora Vermispora_fusarina,0,0,1,0,0,0,0,0
Calceomyces Calceomyces_lacunosus,1,0,0,0,0,0,0,0
Inocephalus Inocephalus_murrayi,0,0,1,0,0,0,0,0
Coprinellus Coprinellus_xanthothrix,0,1,0,0,0,0,0,0
Oblongocollomyces Oblongocollomyces_variabilis,0,0,1,0,0,0,0,0
Dictyocheirospora Dictyocheirospora_garethjonesii,0,0,1,0,0,0,0,0
Protrudomyces Protrudomyces_lateralis,0,0,1,0,0,0,0,0
Pirottaea Pirottaea_palmicola,0,0,1,0,0,0,0,0
Caloplaca Caloplaca_alociza,0,0,1,0,0,0,0,0
Irpex Irpex_hacksungii,0,0,1,0,0,0,0,0
Sebacina Sebacina_flagelliformis,0,0,1,0,0,0,0,0
Hyphopichia Hyphopichia_heimii,0,0,1,0,0,0,0,0
Sarcogyne Sarcogyne_distinguenda,0,0,1,0,0,0,0,0
Leohumicola Leohumicola_lenta,1,0,0,0,0,0,0,0
Heterospora Heterospora_chenopodii,1,0,0,0,0,0,0,0
Entoloma Entoloma_petchii,0,0,1,0,0,0,0,0
Cladophialophora Cladophialophora_boppii,0,0,1,0,0,0,0,0
Thanatephorus Thanatephorus_cucumeris,0,0,1,0,0,0,0,0
Kellermania Kellermania_agaves,0,0,1,0,0,0,0,0
Pleurotus Pleurotus_giganteus,0,0,1,0,0,0,0,0
Clavulina Clavulina_tepurumenga,0,0,1,0,0,0,0,0
Curvularia Curvularia_alcornii,0,0,1,0,0,0,0,0
Purpureocillium unidentified,0,0,1,0,0,0,0,0
Gymnopus Gymnopus_fuscotramus,0,0,1,0,0,0,0,0
Fusarium Fusarium_buharicum,0,0,1,0,0,0,0,0
Sphenorchidium Sphenorchidium_deightonii,0,0,1,0,0,0,0,0
Microascus Microascus_cinereus,0,1,0,0,0,0,0,0
Clavulina Clavulina_nigricans,0,0,1,0,0,0,0,0
Aspergillus Aspergillus_aculeatus,0,0,1,0,0,0,0,0
Piptoporus Piptoporus_soloniensis,0,0,1,0,0,0,0,0
Aspergillus Aspergillus_avenaceus,0,1,0,0,0,0,0,0
